08-18T00:08:10,1503014890,28087111,15
08-18T00:08:40,1503014920,14087111,15
08-18T00:09:50,1503014990,28087111,15
08-18T00:10:20,1503015020,14087111,15
08-18T00:11:41,1503015101,28087111,15
08-18T00:12:22,1503015142,14087111,15
08-18T00:13:03,1503015183,7087111,15
08-18T00:13:44,1503015224,3587111,15
08-18T00:14:25,1503015265,28087111,15
08-18T00:15:06,1503015306,14087111,15
08-18T00:15:47,1503015347,7087111,15
08-18T00:16:28,1503015388,3587111,15
08-18T00:17:08,1503015428,28087111,15
08-18T00:17:49,1503015469,14087111,15
08-18T00:20:19,1503015619,28087111,10,15
08-18T00:21:00,1503015660,14087111,10,15
08-18T00:21:41,1503015701,7087111,10,15
08-18T00:22:22,1503015742,3587111,10,15
08-18T00:23:03,1503015783,28087111,10,15
08-18T00:23:44,1503015824,14087111,10,15
08-18T00:24:25,1503015865,7087111,10,15
08-18T00:25:06,1503015906,3587111,10,15
08-18T00:25:46,1503015946,28087111,10,15
08-18T00:26:27,1503015987,14087111,10,15
08-18T00:27:08,1503016028,7087111,10,15
08-18T00:27:49,1503016069,3587111,10,15
08-18T00:28:30,1503016110,28087111,10,15
08-18T00:29:11,1503016151,14087111,10,15
08-18T00:29:52,1503016192,7087111,10,15
08-18T00:30:33,1503016233,3587111,10,15
08-18T00:34:18,1503016458,28071222,30,15
08-18T00:35:02,1503016502,14071222,30,15
08-18T00:35:46,1503016546,7071222,30,15
08-18T00:36:30,1503016590,3571222,30,15
08-18T00:37:14,1503016634,28071222,30,15
08-18T00:37:58,1503016678,14071222,30,15
08-18T00:39:41,1503016781,28071222,50,15
08-18T00:40:25,1503016825,14071222,50,15
08-18T00:41:09,1503016869,7071222,50,15
08-18T00:41:53,1503016913,3571222,50,15
08-18T00:42:37,1503016957,28071222,50,15
08-18T00:43:21,1503017001,14071222,50,15
08-18T00:44:05,1503017045,7071222,50,15
08-18T00:44:49,1503017089,3571222,50,15
08-18T00:45:33,1503017133,28071222,50,15
08-18T00:46:17,1503017177,14071222,50,15
08-18T00:47:01,1503017221,7071222,50,15
08-18T01:01:05,1503018065,28071222,50,15
08-18T01:01:49,1503018109,14071222,50,15
08-18T01:02:33,1503018153,7071222,50,15
08-18T01:03:17,1503018197,3571222,50,15
08-18T01:04:01,1503018241,28071222,50,15
08-18T01:04:45,1503018285,14071222,50,15
08-18T01:05:29,1503018329,7071222,50,15
08-18T01:06:13,1503018373,3571222,50,15
08-18T01:06:57,1503018417,28071222,50,15
08-18T01:07:41,1503018461,14071222,50,15
08-18T01:09:52,1503018592,28087111,70,15
08-18T01:10:36,1503018636,14087111,70,15
08-18T01:11:20,1503018680,7087111,70,15
08-18T01:12:04,1503018724,3587111,70,15
08-18T01:12:48,1503018768,28087111,70,15
08-18T01:13:32,1503018812,14087111,70,15
08-18T01:14:16,1503018856,7087111,70,15
08-18T01:15:00,1503018900,3587111,70,15
08-18T01:15:44,1503018944,28087111,70,15
08-18T01:16:28,1503018988,14087111,70,15
08-18T01:17:13,1503019033,7087111,70,15
08-18T01:17:57,1503019077,3587111,70,15
08-18T22:03:09,1503093789,28087111,5,15
08-18T22:05:25,1503093925,28087111,5,15
08-18T22:07:38,1503094058,28087111,5,15
08-18T22:08:57,1503094137,28087111,5,15
08-18T22:13:33,1503094413,28087111,5,15
08-18T22:14:32,1503094472,28087111,5,15
08-18T22:15:04,1503094504,14087111,5,15
08-18T22:15:37,1503094537,7087111,5,15
08-18T22:16:10,1503094570,3587111,5,15
08-18T22:16:43,1503094603,28087111,5,15
08-18T22:17:16,1503094636,14087111,5,15
08-18T22:17:49,1503094669,7087111,5,15
08-18T22:18:22,1503094702,3587111,5,15
08-18T22:19:14,1503094754,28087111,20,15
08-18T22:19:47,1503094787,14087111,20,15
08-18T22:20:20,1503094820,7087111,20,15
08-18T22:20:53,1503094853,3587111,20,15
08-18T22:21:26,1503094886,28087111,20,15
08-18T22:21:59,1503094919,14087111,20,15
08-18T22:25:47,1503095147,28087111,70,15
08-18T22:26:27,1503095187,14087111,70,15
08-18T22:27:07,1503095227,7087111,70,15
08-18T22:27:47,1503095267,3587111,70,15
08-18T22:28:26,1503095306,28087111,70,15
08-18T22:29:06,1503095346,14087111,70,15
08-18T22:29:46,1503095386,7087111,70,15
08-18T22:30:26,1503095426,3587111,70,15
08-18T22:31:06,1503095466,28087111,70,15
08-18T22:31:45,1503095505,14087111,70,15
08-18T22:32:25,1503095545,7087111,70,15
08-18T22:33:05,1503095585,3587111,70,15
08-18T22:33:45,1503095625,28087111,70,15
08-18T22:34:25,1503095665,14087111,70,15
08-18T22:35:05,1503095705,7087111,70,15
08-18T22:35:45,1503095745,3587111,70,15
08-18T22:36:25,1503095785,28087111,70,15
08-18T22:37:05,1503095825,14087111,70,15
08-18T22:37:44,1503095864,7087111,70,15
08-18T22:38:24,1503095904,3587111,70,15
08-18T22:39:04,1503095944,28087111,70,15
08-18T22:39:44,1503095984,14087111,70,15
08-18T22:40:24,1503096024,7087111,70,15
08-18T22:41:04,1503096064,3587111,70,15
08-18T22:41:44,1503096104,28087111,70,15
08-18T22:42:24,1503096144,14087111,70,15
08-18T22:43:04,1503096184,7087111,70,15
08-18T22:43:43,1503096223,3587111,70,15
08-18T22:44:23,1503096263,28087111,70,15
08-18T22:45:03,1503096303,14087111,70,15
08-18T22:45:43,1503096343,7087111,70,15
08-18T22:46:23,1503096383,3587111,70,15
08-18T22:47:03,1503096423,28087111,70,15
08-18T22:47:43,1503096463,14087111,70,15
08-18T22:48:22,1503096502,7087111,70,15
08-18T22:49:02,1503096542,3587111,70,15
08-18T22:49:42,1503096582,28087111,70,15
08-18T22:50:22,1503096622,14087111,70,15
08-18T22:51:02,1503096662,7087111,70,15
08-18T22:51:42,1503096702,3587111,70,15
08-18T22:52:22,1503096742,28087111,70,15
08-18T22:53:01,1503096781,14087111,70,15
08-18T22:53:41,1503096821,7087111,70,15
08-18T22:54:21,1503096861,3587111,70,15
08-18T22:55:01,1503096901,28087111,70,15
08-18T22:55:41,1503096941,14087111,70,15
08-18T22:56:21,1503096981,7087111,70,15
08-18T22:57:00,1503097020,3587111,70,15
08-18T22:57:40,1503097060,28087111,70,15
08-18T22:58:20,1503097100,14087111,70,15
08-18T22:59:00,1503097140,7087111,70,15
08-18T22:59:40,1503097180,3587111,70,15
08-18T23:00:20,1503097220,28087111,70,15
08-18T23:01:00,1503097260,14087111,70,15
08-18T23:01:39,1503097299,7087111,70,15
08-18T23:02:19,1503097339,3587111,70,15
08-18T23:02:59,1503097379,28087111,70,15
08-18T23:03:39,1503097419,14087111,70,15
08-18T23:04:19,1503097459,7087111,70,15
08-18T23:04:59,1503097499,3587111,70,15
08-18T23:05:39,1503097539,28087111,70,15
08-18T23:06:19,1503097579,14087111,70,15
08-18T23:06:59,1503097619,7087111,70,15
08-18T23:07:38,1503097658,3587111,70,15
08-18T23:22:29,1503098549,28087111,50,15
08-18T23:23:09,1503098589,14087111,50,15
08-18T23:23:49,1503098629,7087111,50,15
08-18T23:24:28,1503098668,3587111,50,15
08-18T23:25:08,1503098708,28087111,50,15
08-18T23:25:48,1503098748,14087111,50,15
08-18T23:26:28,1503098788,7087111,50,15
08-18T23:27:08,1503098828,3587111,50,15
08-18T23:27:48,1503098868,28087111,50,15
08-18T23:28:28,1503098908,14087111,50,15
08-18T23:29:08,1503098948,7087111,50,15
08-18T23:29:48,1503098988,3587111,50,15
08-18T23:30:27,1503099027,28087111,50,15
08-18T23:31:07,1503099067,14087111,50,15
08-18T23:31:47,1503099107,7087111,50,15
08-18T23:32:27,1503099147,3587111,50,15
08-18T23:33:07,1503099187,28087111,50,15
08-18T23:33:47,1503099227,14087111,50,15
08-18T23:34:27,1503099267,7087111,50,15
08-18T23:35:06,1503099306,3587111,50,15
08-18T23:35:46,1503099346,28087111,50,15
08-18T23:36:26,1503099386,14087111,50,15
08-18T23:37:06,1503099426,7087111,50,15
08-18T23:37:46,1503099466,3587111,50,15
08-18T23:38:26,1503099506,28087111,50,15
08-18T23:39:06,1503099546,14087111,50,15
08-18T23:39:46,1503099586,7087111,50,15
08-18T23:40:25,1503099625,3587111,50,15
08-18T23:41:05,1503099665,28087111,50,15
08-18T23:41:45,1503099705,14087111,50,15
08-18T23:42:25,1503099745,7087111,50,15
08-18T23:43:05,1503099785,3587111,50,15
08-18T23:43:45,1503099825,28087111,50,15
08-18T23:44:24,1503099864,14087111,50,15
08-18T23:45:04,1503099904,7087111,50,15
08-18T23:45:44,1503099944,3587111,50,15
08-18T23:46:24,1503099984,28087111,50,15
08-18T23:47:04,1503100024,14087111,50,15
08-18T23:47:44,1503100064,7087111,50,15
08-18T23:48:24,1503100104,3587111,50,15
08-18T23:49:04,1503100144,28087111,50,15
08-18T23:49:44,1503100184,14087111,50,15
08-18T23:50:23,1503100223,7087111,50,15
08-18T23:51:03,1503100263,3587111,50,15
08-18T23:51:43,1503100303,28087111,50,15
08-18T23:52:23,1503100343,14087111,50,15
08-18T23:53:03,1503100383,7087111,50,15
08-18T23:53:43,1503100423,3587111,50,15
08-18T23:54:22,1503100462,28087111,50,15
08-18T23:55:02,1503100502,14087111,50,15
08-18T23:55:42,1503100542,7087111,50,15
08-18T23:56:22,1503100582,3587111,50,15
08-18T23:57:02,1503100622,28087111,50,15
08-18T23:57:42,1503100662,14087111,50,15
08-18T23:58:22,1503100702,7087111,50,15
08-18T23:59:02,1503100742,3587111,50,15
08-18T23:59:41,1503100781,28087111,50,15
08-19T00:00:21,1503100821,14087111,50,15
08-19T00:01:01,1503100861,7087111,50,15
08-19T00:01:41,1503100901,3587111,50,15
08-19T00:02:21,1503100941,28087111,50,15
08-19T00:03:01,1503100981,14087111,50,15
08-19T00:03:41,1503101021,7087111,50,15
08-19T00:04:20,1503101060,3587111,50,15
08-19T00:05:00,1503101100,28087111,50,15
08-19T00:05:40,1503101140,14087111,50,15
08-19T00:06:20,1503101180,7087111,50,15
08-19T00:07:00,1503101220,3587111,50,15
08-19T00:07:40,1503101260,28087111,50,15
08-19T00:08:20,1503101300,14087111,50,15
08-19T00:08:59,1503101339,7087111,50,15
08-19T00:09:39,1503101379,3587111,50,15
08-19T00:10:19,1503101419,28087111,50,15
08-19T00:10:59,1503101459,14087111,50,15
08-19T00:11:39,1503101499,7087111,50,15
08-19T00:12:19,1503101539,3587111,50,15
08-19T00:12:59,1503101579,28087111,50,15
08-19T00:13:39,1503101619,14087111,50,15
08-19T00:14:18,1503101658,7087111,50,15
08-19T00:14:58,1503101698,3587111,50,15
08-19T00:15:38,1503101738,28087111,50,15
08-19T00:16:18,1503101778,14087111,50,15
08-19T00:16:58,1503101818,7087111,50,15
08-19T00:17:38,1503101858,3587111,50,15
08-19T00:18:17,1503101897,28087111,50,15
08-19T00:18:57,1503101937,14087111,50,15
08-19T00:19:37,1503101977,7087111,50,15
08-19T00:20:17,1503102017,3587111,50,15
